Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Cascaded Path Realized (OPA→RIS),"Reasoning for ""Cascaded Path Realized (OPA→RIS)""",Comparators/Baselines Reported,"Reasoning for ""Comparators/Baselines Reported""","Key Physics Specified (λ, distance, aperture)","Reasoning for ""Key Physics Specified (λ, distance, aperture)""",OPA Present (optical phased array),"Reasoning for ""OPA Present (optical phased array)""",Optical Domain (not RF),"Reasoning for ""Optical Domain (not RF)""",Optical RIS/Metasurface Present,"Reasoning for ""Optical RIS/Metasurface Present""",Free-Space Optical Systems,"Reasoning for ""Free-Space Optical Systems""",ISAC Applications,"Reasoning for ""ISAC Applications""",Non-Line-of-Sight Scenarios,"Reasoning for ""Non-Line-of-Sight Scenarios""",OPA-RIS Cascaded Architecture,"Reasoning for ""OPA-RIS Cascaded Architecture""",Quantitative Performance Metrics,"Reasoning for ""Quantitative Performance Metrics""",Substantial Technical Content,"Reasoning for ""Substantial Technical Content""",Turbulent Channel Conditions,"Reasoning for ""Turbulent Channel Conditions""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Joint Beamforming Design for RIS-Assisted Integrated Sensing and Communication Systems,"H. Luo, Rang Liu, Ming Li, Yang Liu, Qian Liu",10.1109/TVT.2022.3197448,https://doi.org/10.1109/TVT.2022.3197448,IEEE Transactions on Vehicular Technology,104,2022,-,no,The system uses RIS but not in a cascaded configuration with an optical phased array.,yes,"The abstract mentions ""advancement of deploying RIS"" suggesting comparative analysis.",no,"The abstract does not mention wavelength, propagation distance, or aperture sizes.",no,"The abstract does not mention optical phased arrays, and the system uses traditional RF antennas instead.",no,"The abstract appears to be discussing RF systems, mentioning ""multi-antenna base station"" and ""spectrum congestion"" which are RF concepts, rather than optical systems.",no,"While RIS is present, it is clearly in the RF domain, not optical.",no,"This is an RF system, not a free-space optical system.",yes,The paper explicitly focuses on ISAC applications.,no,The abstract does not mention non-line-of-sight scenarios.,no,"The abstract does not mention optical phased arrays or a cascaded configuration with reconfigurable intelligent surfaces (RIS), so this criterion is not met.",yes,"The study mentions ""achievable sum-rate"" as a performance metric.",yes,This appears to be a technical paper with optimization algorithms and simulation studies.,no,The abstract does not mention atmospheric turbulence or channel conditions.,Exclude,"This research focuses on RF-based Integrated Sensing and Communication (ISAC) systems using reconfigurable intelligent surfaces, which fundamentally differs from optical domain requirements. The study lacks key optical components like optical phased arrays, optical RIS, and free-space optical communication elements, rendering it incompatible with the specified screening criteria. While technically robust, the paper does not meet the essential optical system specifications.",0.1
Toward STAR-RIS-Empowered Integrated Sensing and Communications: Joint Active and Passive Beamforming Design,"Zhipeng Liu, Xi Li, Hong Ji, Heli Zhang, Victor C. M. Leung",10.1109/TVT.2023.3294338,https://doi.org/10.1109/TVT.2023.3294338,IEEE Transactions on Vehicular Technology,41,2023,-,no,"While there is a cascaded path (BS→STAR-RIS→users), it's not an OPA→RIS configuration.",yes,"The paper mentions comparing against ""other benchmark schemes"" and discusses performance improvements.",no,The abstract doesn't mention wavelength or specific propagation distances.,no,No optical phased array is mentioned or used in the paper. The system uses multi-antenna base stations in the RF domain.,no,"The paper clearly operates in the RF domain, discussing wireless networks and electromagnetic environments, rather than the optical regime.",no,"While RIS is used, it's a STAR-RIS for RF applications, not an optical metasurface.",no,"This is a wireless RF system, not a free-space optical system.",yes,The paper explicitly focuses on Integrated Sensing and Communication applications.,no,The abstract doesn't specifically address NLoS scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on RF-based RIS for wireless networks.",yes,The study reports SNR metrics for both sensing and communication.,yes,This is a full technical paper with theoretical analysis and simulations.,no,No mention of atmospheric turbulence or optical channel conditions.,Exclude,"This research focuses on RF-based wireless networks using STAR-RIS for integrated sensing and communication, fundamentally operating in the electromagnetic domain rather than optical wavelengths. The study lacks optical phased arrays, optical metasurfaces, and free-space optical system characteristics, rendering it incompatible with the specified screening criteria. While technically robust in its RF domain analysis, the paper does not meet the core requirements for optical system research.",0.1
Integrated Sensing and Communication for RIS-Assisted Backscatter Systems,"Xinyi Wang, Zesong Fei, Qingqing Wu",10.1109/JIOT.2023.3262867,https://doi.org/10.1109/JIOT.2023.3262867,IEEE Internet of Things Journal,40,2023,-,no,The system does not describe an OPA→RIS cascaded path. It's a backscatter communication system with RIS.,yes,The abstract mentions that numerical results show improvement and illustrate tradeoffs between communication and sensing performance.,no,"The abstract does not provide wavelength, propagation distance, or aperture size information.",no,"There is no mention of optical phased arrays. The system uses base station beamforming and RIS, but not specifically optical components.",no,"The abstract does not specify the frequency domain, and the context of IoT and backscatter communication suggests this is an RF-based system rather than optical.",no,"While RIS is present, it's not specified as an optical metasurface. The context suggests RF implementation.",no,"This appears to be a backscatter communication system, not a free-space optical system.",yes,The paper explicitly focuses on integrated sensing and communication applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,The abstract does not specifically discuss optical phased arrays or a cascaded configuration. It focuses on backscatter communication systems instead.,yes,The study reports system sum-rate and discusses Cramér-Rao bound for target angle estimation.,yes,"This is a technical paper with mathematical formulation, optimization algorithms, and numerical results.",no,There is no mention of atmospheric turbulence or channel conditions.,Exclude,"The research focuses on an RF-based backscatter communication system with integrated sensing and communication capabilities, utilizing RIS and base station beamforming. Despite strong technical content and ISAC applications, the study does not meet key screening criteria related to optical systems, optical phased arrays, or free-space optical communication. The work appears to be fundamentally an RF-based investigation rather than an optical domain research.",1.4
Exploiting NOMA and RIS in Integrated Sensing and Communication,"Jia-kuo Zuo, Yuanwei Liu, Chenming Zhu, Yixuan Zou, Deng-yin Zhang, N. Al-Dhahir",10.1109/TVT.2023.3272036,https://doi.org/10.1109/TVT.2023.3272036,IEEE Transactions on Vehicular Technology,56,2022,-,no,"While there is a cascaded system (BS→RIS→target), it is not an OPA→RIS configuration.",yes,"The study compares RIS-NOMA-ISAC vs. RIS-ISAC without NOMA, which provides a baseline for comparison.",no,"The abstract does not mention wavelength, propagation distance, or aperture sizes.",no,There is no mention of optical phased arrays in the paper. The system uses traditional base station architecture instead.,no,"The abstract does not mention optical wavelengths or optical components, and the context appears to be RF-based given the discussion of NOMA and radar. Therefore, the work is not in the optical regime.",no,"While RIS is present, it is not specified as an optical RIS. The context suggests an RF implementation.",no,"The system appears to be RF-based rather than optical, as it does not focus on free-space optical communication systems or atmospheric optical links.",yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,yes,The paper addresses blockage and non-LoS scenarios through virtual LoS links.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on a base station with NOMA and RIS for sensing, which is not the same as the OPA-RIS cascaded architecture.",yes,The study reports beampattern gain and illumination power as quantitative performance metrics.,yes,"This is a detailed technical paper with optimization algorithms and numerical analysis, indicating substantial technical content.",no,There is no mention of atmospheric turbulence or related parameters in the paper.,Exclude,"This research focuses on an RF-based integrated sensing and communication system using NOMA and RIS, which fundamentally differs from optical phased array architectures. The study lacks optical domain specifications, wavelength details, and optical metasurface components, rendering it incompatible with optical system screening criteria. While technically robust in RF domain optimization, the paper does not meet the required optical system characteristics.",0.1
Joint Transceiver Beamforming and Reflecting Design for Active RIS-Aided ISAC Systems,"Qi Zhu, Ming Li, Rang Liu, Qian Liu",10.1109/TVT.2023.3249752,https://doi.org/10.1109/TVT.2023.3249752,IEEE Transactions on Vehicular Technology,99,2023,-,no,"While the system uses RIS, there is no mention of an OPA→RIS cascading configuration.",yes,The study compares active RIS vs. passive RIS and reports specific performance improvements (32 dB SNR enhancement).,no,"The abstract does not provide information about wavelength, propagation distance, or aperture size.",no,There is no mention of optical phased arrays in the abstract. The system appears to use traditional beamforming rather than an optical phased array.,no,"The abstract does not specify the frequency domain or mention optical components. The context suggests this is likely an RF system, not an optical one.",no,"While RIS is present, there is no indication that it is an optical metasurface. The context suggests an RF implementation.",no,There is no indication that this is an optical system; it appears to be RF-based.,yes,The study explicitly focuses on ISAC applications.,yes,The study mentions addressing blockage problems and providing virtual line-of-sight paths.,no,The abstract does not specifically mention optical phased arrays (OPAs) in a cascaded configuration with reconfigurable intelligent surfaces (RIS). The system appears to be a general RIS system without OPA components.,yes,The study reports SNR and SINR metrics.,yes,The paper presents a detailed technical analysis with algorithm development and simulation results.,no,There is no mention of atmospheric turbulence or channel conditions.,Exclude,"The research focuses on an RF-based Integrated Sensing and Communication (ISAC) system using reconfigurable intelligent surfaces, which lacks optical domain characteristics and does not involve optical phased arrays or metasurfaces. While demonstrating substantial technical depth with quantitative performance metrics and addressing non-line-of-sight scenarios, the study fundamentally diverges from the specified optical system screening criteria. Consequently, the paper does not meet the key requirements for an optical RIS-OPA cascaded architecture investigation.",1.4
SNR/CRB-Constrained Joint Beamforming and Reflection Designs for RIS-ISAC Systems,"Rang Liu, Ming Li, Qian Liu, A. L. Swindlehurst",10.1109/TWC.2023.3341429,https://doi.org/10.1109/TWC.2023.3341429,IEEE Transactions on Wireless Communications,63,2023,-,no,"While the system does use RIS, it's not in a cascaded configuration with OPA.",yes,"The abstract mentions comparing the proposed joint design algorithms with ""other schemes.""",no,The abstract doesn't specify wavelength or physical parameters of the system.,no,No optical phased array is mentioned or implied. The system uses traditional RF multi-antenna arrays.,no,"The abstract clearly indicates this is an RF-based system, discussing multi-antenna base stations and radar sensing. No mention of optical wavelengths or optical components.",no,"The RIS discussed is clearly RF-based, not optical. No mention of optical metasurfaces or programmable mirrors.",no,"This is an RF-based system, not free-space optical.",yes,"The paper explicitly focuses on ISAC applications, combining communication and sensing.",no,Not explicitly mentioned in the abstract.,no,The paper discusses RIS-assisted systems but does not mention optical phased arrays. It focuses on RF-based multi-antenna systems.,yes,"The study reports SNR, Cramér-Rao bound (CRB), and sum-rate metrics.",yes,"This is a detailed technical study with optimization problems, algorithms, and simulation results.",no,No mention of atmospheric turbulence or channel conditions.,Exclude,"This RF-based study focuses on multi-antenna base stations and radar sensing, fundamentally diverging from optical system requirements. Despite strong technical content and ISAC applications, the research lacks critical optical components like optical phased arrays, metasurfaces, or free-space optical configurations. Consequently, the paper does not meet the systematic review's core screening criteria for optical systems.",0.1
"Reconfigurable Intelligent Surfaces for 6G: Emerging Hardware Architectures, Applications, and Open Challenges","E. Başar, G. C. Alexandropoulos, Yuanwei Liu, Qingqing Wu, Shi Jin, Chau Yuen, O. Dobre, Robert Schober",10.1109/MVT.2024.3415570,https://doi.org/10.1109/MVT.2024.3415570,IEEE Vehicular Technology Magazine,49,2023,-,no,There is no discussion of OPA→RIS cascaded paths in the paper.,no,The abstract mentions reviewing experimental setups but does not explicitly state comparisons or baselines.,no,The abstract does not provide any specific wavelengths or physical parameters.,no,"There is no mention of optical phased arrays in the paper, as the focus is on RF RIS implementations.",no,The paper is clearly focused on RF wireless communications (5G/6G networks) and does not mention optical wavelengths or optical components.,no,"While metasurfaces are mentioned, they are in the context of RF applications, not optical implementations.",no,"The paper focuses on RF wireless communications, not free-space optical systems.",maybe,"ISAC is mentioned as one of the applications, but in the context of RF communications.",no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The abstract does not mention optical phased arrays or cascaded configurations, and instead focuses on RF wireless communications.",no,No specific performance metrics are mentioned in the abstract.,yes,The paper appears to be a comprehensive review article with substantial technical content.,no,There is no mention of atmospheric turbulence or optical channel conditions.,Exclude,"This comprehensive review of reconfigurable intelligent surfaces (RIS) technology is fundamentally focused on RF wireless communications for 5G and 6G networks, not optical systems. The paper lacks critical elements such as optical phased arrays, optical domain analysis, and free-space optical communication considerations, rendering it incompatible with the specified screening criteria. While technically substantive, the research does not align with the optical and OPA-RIS architectural requirements.",0.1
CRB Minimization for RIS-Aided mmWave Integrated Sensing and Communications,"Wanting Lyu, Songjie Yang, Yue Xiu, Ya Li, Hongjun He, Chau Yuen, Zhongpei Zhang",10.1109/JIOT.2024.3361939,https://doi.org/10.1109/JIOT.2024.3361939,IEEE Internet of Things Journal,32,2024,-,no,The paper does not describe a cascaded path with an OPA and a RIS. The RIS system is not in an optical configuration.,yes,"The paper mentions comparing with ""other baselines"" and specifically compares with a ""full digital approach.""",no,The abstract does not mention the wavelength or specific propagation distances.,no,No optical phased array is mentioned or used in the paper. The system uses RF beamforming instead.,no,"The paper is explicitly focused on a mmWave system, not an optical system. It mentions ""millimeter-wave (mmWave)"" and ""radio frequency (RF)"" chains, indicating it is not in the optical domain.",no,"While RIS is used in the paper, it is in the RF/mmWave domain, not an optical RIS/metasurface.",no,"The paper is focused on a mmWave system, not a free-space optical system.",yes,"The paper explicitly focuses on ""integrated sensing and communications (ISAC).""",no,The abstract does not mention non-line-of-sight (NLoS) scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it discusses RIS in mmWave systems, not optical phased arrays.",yes,"The paper discusses Cramér-Rao bound (CRB), achievable data rate, and sensing performance metrics.",yes,"The paper is a detailed technical paper with mathematical analysis, optimization algorithms, and numerical results.",no,The paper does not mention atmospheric turbulence or related parameters.,Exclude,"The study focuses on a millimeter-wave integrated sensing and communication system using reconfigurable intelligent surfaces, which fundamentally differs from the required optical phased array and optical RIS architecture. Critical screening criteria related to optical domain, free-space optical systems, and optical phased arrays are not met, rendering the paper non-compliant with the specified research parameters. Despite strong technical content and ISAC applications, the core requirements for optical system investigation are not satisfied.",0.1
Active Reconfigurable Intelligent Surface-Assisted MISO Integrated Sensing and Communication Systems for Secure Operation,"A. A. Salem, Mahmoud H. Ismail, A. Ibrahim",10.1109/TVT.2022.3227319,https://doi.org/10.1109/TVT.2022.3227319,IEEE Transactions on Vehicular Technology,92,2023,-,no,"No cascaded path is discussed, as the system appears to be a single-hop RF system.",yes,The study compares active RIS vs. passive RIS vs. no RIS configurations.,no,The abstract does not provide specific wavelengths or physical parameters.,no,"The system appears to be RF-based, as there is no mention of optical phased arrays.",no,"The abstract appears to discuss RF systems, not optical systems, as there is no mention of optical wavelengths, lasers, or optical components.",no,"While RIS is discussed, it is in the context of RF systems, not optical metasurfaces.",no,"The system appears to be RF-based, not optical.",yes,The paper explicitly focuses on ISAC applications.,maybe,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The abstract does not mention optical phased arrays or a cascaded configuration with reconfigurable intelligent surfaces (RIS), so there is no evidence that this study investigates OPA-RIS cascaded architecture.",yes,The study mentions SNR and secrecy rate as performance metrics.,yes,This appears to be a technical paper with optimization analysis and numerical results.,no,There is no mention of atmospheric turbulence or optical channel conditions.,Exclude,"The research focuses on RF-based integrated sensing and communication systems with reconfigurable intelligent surfaces, failing key optical domain criteria such as wavelength specification, optical phased arrays, and optical metasurface implementation. While demonstrating substantial technical content with performance metrics and comparative analysis, the study does not meet the fundamental requirements for optical system research. Consequently, the paper does not align with the specified screening criteria for optical communication systems.",0.1
Cramér-Rao Bound Optimization for Active RIS-Empowered ISAC Systems,"Qi Zhu, Ming Li, Rang Liu, Qian Liu",10.1109/TWC.2024.3384501,https://doi.org/10.1109/TWC.2024.3384501,IEEE Transactions on Wireless Communications,30,2023,-,no,"While there is a system with RIS, it is not an optical cascaded path.",yes,The paper appears to compare performance with and without RIS.,no,The abstract does not mention wavelength or specific physical parameters.,no,No optical phased array is mentioned or implied in the paper.,no,"The work is in the RF domain, not the optical regime. The abstract mentions ""wireless systems"" and ""wireless propagations"", indicating this is an RF-only system.",no,"While RIS is discussed, it is in the context of RF wireless systems, not optical metasurfaces.",no,"This is a wireless RF system, not a free-space optical system.",yes,The paper explicitly focuses on ISAC applications.,yes,"The paper mentions ""obstructed targets"" and scenarios involving obstructions, indicating it examines non-line-of-sight scenarios.",no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). The abstract indicates this is a wireless system, not an optical one.",yes,"The paper mentions SINR, Cramér-Rao bound, and DoA estimation performance as quantitative metrics.",yes,"This appears to be a full technical paper with theoretical analysis and simulations, indicating substantial technical content.",no,There is no mention of atmospheric turbulence or related parameters.,Exclude,"This wireless RF system focuses on integrated sensing and communication (ISAC) using active reconfigurable intelligent surfaces, but fundamentally lacks optical domain characteristics such as optical phased arrays, metasurfaces, or free-space optical configurations. Despite addressing some technical aspects like non-line-of-sight scenarios and performance metrics, the study does not meet the core screening criteria for an optical system with OPA-RIS cascaded architecture.",0.1
A RIS-Based Vehicle DOA Estimation Method With Integrated Sensing and Communication System,"Zhimin Chen, Peng Chen, Ziyu Guo, Yudong Zhang, Xianbin Wang",10.1109/TITS.2023.3330172,https://doi.org/10.1109/TITS.2023.3330172,IEEE transactions on intelligent transportation systems (Print),42,2022,-,no,The paper does not mention an OPA→RIS cascaded configuration.,yes,"The paper mentions comparing performance against CRLB and includes different distributions of sensing nodes, indicating the presence of comparators or baselines.",no,"The abstract does not mention wavelength, propagation distance, or aperture size.",no,The paper does not mention the use of an optical phased array.,no,"The paper discusses wireless communication and does not mention optical wavelengths or optical components, indicating that it is not in the optical regime.",no,"While the paper uses RIS, it appears to be in the RF domain for wireless communication, not in the optical domain.",no,"The paper focuses on wireless communication systems, not free-space optical systems.",yes,The paper explicitly focuses on integrated sensing and communication (ISAC) systems.,no,The abstract does not mention non-line-of-sight (NLoS) scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on passive sensing using RIS in the RF domain for wireless communication.",yes,The paper discusses SINR and CRLB as performance metrics.,yes,"The paper is a full technical paper with theoretical analysis, simulation results, and mathematical derivations, indicating substantial technical content.",no,The paper does not mention atmospheric turbulence or related parameters.,Exclude,"The research focuses on wireless communication and integrated sensing using reconfigurable intelligent surfaces (RIS), but does not meet the key screening criteria related to optical systems, optical phased arrays, or free-space optical communication. Specifically, the study operates in the RF domain and lacks the required optical components, wavelength specifications, and optical metasurface characteristics necessary for inclusion in the systematic review.",0.1
